Date,open,high,low,close,volume,dividends,stock_splits,capital_gains
2023-09-12,94.23320415435524,94.25123789311716,94.03487429511074,94.1971435546875,15839800,0.0,0.0,0.0
2023-09-13,94.09795314642527,94.49461275751185,94.04386570049684,94.40446472167969,19975200,0.0,0.0,0.0
2023-09-14,94.47659209279075,94.56674013453053,94.1790973649802,94.23318481445312,16821000,0.0,0.0,0.0
2023-09-15,94.14304619512072,94.18812365942959,93.89062890184395,94.08895874023438,21796400,0.0,0.0,0.0
2023-09-18,93.90864230377672,94.29628505657563,93.90864230377672,94.26924133300781,12182200,0.0,0.0,0.0
2023-09-19,94.04388340436512,94.14304832580467,93.91767475487033,93.9537353515625,14577800,0.0,0.0,0.0
2023-09-20,94.26022836544354,94.45855818361834,93.97175050569511,93.98978424072266,23735800,0.0,0.0,0.0
2023-09-21,93.2235234963507,93.24155035505616,92.97109932948706,93.04322052001953,30183800,0.0,0.0,0.0
2023-09-22,93.25958566931135,93.70132284298212,93.14239388246216,93.61116790771484,21849000,0.0,0.0,0.0
2023-09-25,92.9079776040063,93.17842857891537,92.6735940954627,92.70063781738281,25968600,0.0,0.0,0.0
2023-09-26,92.89898825149812,92.96209257594745,92.31301559426538,92.43922424316406,39047500,0.0,0.0,0.0
2023-09-27,92.87193389212008,92.95307195047876,91.68196176641642,92.00650024414062,35741200,0.0,0.0,0.0
2023-09-28,91.60985538855176,92.18681120384204,91.32137748090662,92.16877746582031,34650100,0.0,0.0,0.0
2023-09-29,92.65558899269686,92.7817976525583,91.75409463491175,91.97045135498047,28143000,0.0,0.0,0.0
2023-10-02,91.52605589817388,91.67991687537607,91.04638914036379,91.12784576416016,18787800,0.399,0.0,0.0
2023-10-03,90.83825790849949,90.98305974656243,89.95132162024318,90.0780258178711,30830200,0.0,0.0,0.0
2023-10-04,90.58484463160802,90.91065740560285,90.20473203023441,90.86540985107422,25863600,0.0,0.0,0.0
2023-10-05,90.9921008871655,91.18215716035576,90.61198834078503,90.75679016113281,21155700,0.0,0.0,0.0
2023-10-06,89.88795727207938,90.68438453504587,89.75220082030351,90.48528289794922,21667900,0.0,0.0,0.0
2023-10-09,90.93779041425651,91.6346633343152,90.78392943553303,91.60751342773438,6398600,0.0,0.0,0.0
2023-10-10,91.19121323571419,92.00574508683431,91.01925459357207,91.64373016357422,23168100,0.0,0.0,0.0
2023-10-11,92.18675160369592,92.25915597128954,91.79758675895583,92.20484924316406,22655800,0.0,0.0,0.0
2023-10-12,92.06907495202994,92.16862229965362,91.04638252286732,91.24549102783203,27899900,0.0,0.0,0.0
2023-10-13,91.99669761524348,92.06910198464557,91.57133057608202,91.75233459472656,20716300,0.0,0.0,0.0
2023-10-16,91.24552439358303,91.36317632369365,91.07356573007726,91.11882019042969,25991800,0.0,0.0,0.0
2023-10-17,90.32238555605502,90.70249813509615,90.10517244957954,90.39478302001953,24273500,0.0,0.0,0.0
2023-10-18,90.0598953143448,90.11419512069665,89.55307180391345,89.67073059082031,32144400,0.0,0.0,0.0
2023-10-19,89.52593735922245,89.80650251848857,88.93766403768592,88.94671630859375,41211800,0.0,0.0,0.0
2023-10-20,89.01913956201659,89.38115452171849,89.01913956201659,89.29969787597656,27130800,0.0,0.0,0.0
2023-10-23,89.0372186638769,90.24091521969133,88.91051449009218,89.9965591430664,21103000,0.0,0.0,0.0
2023-10-24,90.13229745394784,90.55766437217127,89.97844339135686,90.50336456298828,24517600,0.0,0.0,0.0
2023-10-25,89.99656931604594,90.0508691381317,89.47164801968229,89.67980194091797,20957000,0.0,0.0,0.0
2023-10-26,89.76125209315374,90.38572762145968,89.62549564288811,90.3314208984375,28046100,0.0,0.0,0.0
2023-10-27,90.22282550677414,90.34047741994752,89.87890822927316,90.15042114257812,21362800,0.0,0.0,0.0
2023-10-30,89.8970260549431,90.0780300873161,89.60741546022957,89.87892150878906,20961500,0.0,0.0,0.0
2023-10-31,89.99656025011544,90.41287495550912,89.7250473573171,89.752197265625,28805700,0.0,0.0,0.0
2023-11-01,90.17369776269442,91.07298716677256,90.12828351611279,91.03665161132812,32111800,0.364,0.0,0.0
2023-11-02,91.9268285006787,92.19025602272058,91.77240762129806,92.11759185791016,31295500,0.0,0.0,0.0
2023-11-03,93.18038986176418,93.47106734067937,92.5445281120575,92.57178497314453,38496200,0.0,0.0,0.0
2023-11-06,92.40828900733966,92.40828900733966,91.97226927404246,92.0812759399414,17827700,0.0,0.0,0.0
